"Service Request Description","Department","Method Received","Created Date","Block/Address","Street","Ward","Sub-Type"
"Garbage Not Collected","Environmental Services","Phone","APR 08, 2020 11:54:14 AM","27##","SOUTHRIDGE","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 08, 2020 03:50:44 PM","20##","VIMY","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 19, 2020 09:35:39 AM","28##","JEFFERSON","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","APR 06, 2020 10:59:55 AM","61##","TIBURON","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","APR 06, 2020 12:08:11 PM","29##","ASKIN","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 06, 2020 03:35:23 PM","38##","VAUGHAN","WARD 2"," "
"Garbage Not Collected","Environmental Services","E-Mail","APR 07, 2020 12:19:11 PM","6##","IRVINE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 17, 2020 11:03:19 AM","10##","MARION","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 16, 2020 02:26:16 PM","29##","REGIS","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 16, 2020 04:07:28 PM","26##","CHICK","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 17, 2020 01:51:32 PM","7##","SOUTH PACIFIC","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 17, 2020 04:51:09 PM","14##","BUDAPEST","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 19, 2020 10:52:54 AM","93##","BAYSWATER","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","APR 09, 2020 09:01:34 AM","18##","MOY","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 09, 2020 09:11:21 AM","52##","WYANDOTTE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","APR 09, 2020 09:12:05 AM","52##","WYANDOTTE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","APR 09, 2020 10:05:59 AM","22##","KILDARE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 19, 2020 10:52:53 AM","9##","BANWELL","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 18, 2020 12:26:03 PM","47##","JULIET","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 19, 2020 10:43:31 AM","8##","DAWSON","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 01, 2020 08:57:39 AM","9##","BELLEPERCHE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 01, 2020 09:43:56 AM","10##","LAKEVIEW","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 01, 2020 10:22:06 AM","118##","COBBLESTONE","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 01, 2020 12:14:51 PM","5##","LAKEVIEW","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 13, 2020 08:34:05 AM","36##","HOLBURN","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 13, 2020 09:05:14 AM","7##","BARTLET","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","APR 30, 2020 03:10:28 PM","4##","WATSON","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 01, 2020 08:05:13 AM","50##","COLBOURNE","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 01, 2020 08:27:43 AM","10##","HOMEDALE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 13, 2020 09:15:16 AM","21##","PELISSIER","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 13, 2020 09:15:40 AM","19##","MANITOBA","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 30, 2020 12:05:28 PM","3##","PARENT","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 15, 2020 11:52:34 AM","14##","GOYEAU","WARD 3"," "
